application_id,application_date,partner,city,channel,product,stage,loan_amount,processing_days,sla_status,approval_status,disbursed,api_issue,uat_status,conversion_rate_pct,estimated_partner_revenue,portfolio_project
APP0067,2026-01-29,Partner_I,Chennai,Referral,Education Loan,Credit Review,1853038,7,SLA Breach,Pending,No,No,Not Required,11.4,0.0,Partner Growth & Lending Operations
APP0068,2026-05-06,Partner_J,Hyderabad,Digital Campaign,Education Loan,Application,1150199,5,Within SLA,Pending,No,Yes,Not Required,8.9,0.0,Partner Growth & Lending Operations
APP0069,2026-05-12,Partner_C,Kolkata,Partner,Personal Loan,Application,548870,6,SLA Breach,Pending,No,No,Not Required,5.2,0.0,Customer Journey Transformation
APP0070,2026-04-02,Partner_C,Mumbai,Branch,Education Loan,Approved,2410705,10,SLA Breach,Yes,No,No,Not Required,12.9,0.0,Partner Growth & Lending Operations
APP0071,2026-02-14,Partner_F,Hyderabad,Partner,Education Loan,Credit Review,2745131,10,SLA Breach,Pending,No,Yes,Not Required,4.5,0.0,Partner Growth & Lending Operations
APP0072,2026-04-23,Partner_I,Chennai,Partner,Education Loan,Application,2783869,1,Within SLA,Pending,No,No,Not Required,12.7,0.0,Partner Growth & Lending Operations
APP0073,2026-06-03,Partner_H,Chennai,Digital Campaign,Personal Loan,Application,865131,7,SLA Breach,Pending,No,No,Not Required,11.6,0.0,Customer Journey Transformation
APP0074,2026-01-15,Partner_G,Mumbai,Partner,Education Loan,Disbursed,4208654,2,Within SLA,Yes,Yes,No,Not Required,20.5,8627.74,Partner Growth & Lending Operations
APP0075,2026-01-25,Partner_L,Bangalore,Referral,Education Loan,Approved,4220464,7,SLA Breach,Yes,No,No,Not Required,9.4,0.0,Partner Growth & Lending Operations
APP0076,2026-02-03,Partner_D,Bangalore,Website,Consumer Loan,Disbursed,155036,2,Within SLA,Yes,Yes,No,Not Required,20.6,319.37,CRM & Operations Transformation
APP0077,2026-02-28,Partner_L,Mumbai,Website,Personal Loan,Documents,241076,6,SLA Breach,Pending,No,Yes,Not Required,10.3,0.0,Customer Journey Transformation
APP0078,2026-03-16,Partner_A,Delhi,Referral,Consumer Loan,Application,146421,6,SLA Breach,Pending,No,No,Not Required,4.9,0.0,CRM & Operations Transformation
APP0079,2026-06-01,Partner_H,Kolkata,Branch,Education Loan,Disbursed,4168866,3,Within SLA,Yes,Yes,No,Not Required,23.2,9671.77,Partner Growth & Lending Operations
APP0080,2026-06-28,Partner_L,Mumbai,Website,Education Loan,Disbursed,3359653,6,SLA Breach,Yes,Yes,No,Not Required,14.7,4938.69,Partner Growth & Lending Operations
APP0081,2026-01-20,Partner_K,Ahmedabad,Referral,Credit Card,Credit Review,138236,5,Within SLA,Pending,No,No,Passed,8.1,0.0,API Integration & GTM
APP0082,2026-05-14,Partner_J,Chennai,Partner,Education Loan,Documents,1550493,4,Within SLA,Pending,No,No,Not Required,10.1,0.0,Partner Growth & Lending Operations
APP0083,2026-04-11,Partner_G,Bangalore,Partner,Education Loan,Rejected,878892,8,SLA Breach,No,No,No,Not Required,6.1,0.0,Partner Growth & Lending Operations
APP0084,2026-05-17,Partner_H,Chennai,Partner,Education Loan,Credit Review,2824797,2,Within SLA,Pending,No,No,Not Required,11.8,0.0,Partner Growth & Lending Operations
APP0085,2026-03-01,Partner_A,Ahmedabad,Website,Education Loan,Approved,637023,8,SLA Breach,Yes,No,No,Not Required,12.0,0.0,Partner Growth & Lending Operations
APP0086,2026-02-08,Partner_E,Mumbai,Partner,Education Loan,Approved,1562636,10,SLA Breach,Yes,No,No,Not Required,12.8,0.0,Partner Growth & Lending Operations
APP0087,2026-02-22,Partner_F,Hyderabad,Branch,Credit Card,Disbursed,199646,1,Within SLA,Yes,Yes,No,Pending,18.1,361.36,API Integration & GTM
APP0088,2026-01-15,Partner_C,Chennai,Referral,Consumer Loan,Rejected,126646,3,Within SLA,No,No,No,Not Required,4.7,0.0,CRM & Operations Transformation
APP0089,2026-02-02,Partner_G,Mumbai,Website,Consumer Loan,Disbursed,302933,9,SLA Breach,Yes,Yes,No,Not Required,16.0,484.69,CRM & Operations Transformation
APP0090,2026-04-19,Partner_J,Delhi,Website,Education Loan,Disbursed,1723520,6,SLA Breach,Yes,Yes,No,Not Required,13.8,2378.46,Partner Growth & Lending Operations
APP0091,2026-06-13,Partner_H,Delhi,Website,Education Loan,Credit Review,3730019,2,Within SLA,Pending,No,No,Not Required,10.2,0.0,Partner Growth & Lending Operations
APP0092,2026-02-16,Partner_E,Pune,Partner,Personal Loan,Application,64153,8,SLA Breach,Pending,No,No,Not Required,7.8,0.0,Customer Journey Transformation
APP0093,2026-04-10,Partner_J,Delhi,Referral,Education Loan,Application,1041656,1,Within SLA,Pending,No,No,Not Required,13.5,0.0,Partner Growth & Lending Operations
APP0094,2026-02-09,Partner_E,Ahmedabad,Branch,Consumer Loan,Approved,57632,10,SLA Breach,Yes,No,No,Not Required,3.9,0.0,CRM & Operations Transformation
APP0095,2026-02-24,Partner_A,Chennai,Digital Campaign,Credit Card,Application,282793,4,Within SLA,Pending,No,No,Pending,13.4,0.0,API Integration & GTM
APP0096,2026-03-04,Partner_I,Delhi,Referral,Education Loan,Documents,1011411,9,SLA Breach,Pending,No,No,Not Required,7.0,0.0,Partner Growth & Lending Operations
APP0097,2026-04-18,Partner_F,Bangalore,Branch,Personal Loan,Credit Review,582954,2,Within SLA,Pending,No,Yes,Not Required,10.0,0.0,Customer Journey Transformation
APP0098,2026-05-30,Partner_I,Kolkata,Partner,Consumer Loan,Application,312100,8,SLA Breach,Pending,No,No,Not Required,12.4,0.0,CRM & Operations Transformation
APP0099,2026-03-04,Partner_A,Kolkata,Partner,Education Loan,Rejected,519816,1,Within SLA,No,No,No,Not Required,13.3,0.0,Partner Growth & Lending Operations
APP0100,2026-02-01,Partner_A,Ahmedabad,Website,Consumer Loan,Lead,384518,3,Within SLA,Pending,No,No,Not Required,13.8,0.0,CRM & Operations Transformation
APP0101,2026-04-23,Partner_H,Mumbai,Referral,Personal Loan,Lead,638365,3,Within SLA,Pending,No,No,Not Required,9.3,0.0,Customer Journey Transformation
APP0102,2026-04-20,Partner_D,Hyderabad,Website,Personal Loan,Documents,324486,7,SLA Breach,Pending,No,No,Not Required,6.3,0.0,Customer Journey Transformation
APP0103,2026-03-13,Partner_G,Pune,Branch,Personal Loan,Disbursed,266454,8,SLA Breach,Yes,Yes,No,Not Required,15.6,415.67,Customer Journey Transformation
APP0104,2026-02-01,Partner_C,Mumbai,Branch,Education Loan,Approved,972327,2,Within SLA,Yes,No,No,Not Required,14.9,0.0,Partner Growth & Lending Operations
APP0105,2026-01-07,Partner_D,Pune,Branch,Consumer Loan,Approved,151300,7,SLA Breach,Yes,No,Yes,Not Required,3.2,0.0,CRM & Operations Transformation
APP0106,2026-05-10,Partner_C,Pune,Branch,Credit Card,Approved,168865,2,Within SLA,Yes,No,Yes,Passed,7.0,0.0,API Integration & GTM
APP0107,2026-03-27,Partner_D,Delhi,Partner,Personal Loan,Documents,706639,9,SLA Breach,Pending,No,No,Not Required,6.5,0.0,Customer Journey Transformation
APP0108,2026-01-25,Partner_H,Mumbai,Partner,Credit Card,Disbursed,267215,1,Within SLA,Yes,Yes,No,Passed,23.9,638.64,API Integration & GTM
APP0109,2026-05-26,Partner_K,Chennai,Partner,Education Loan,Rejected,1786585,2,Within SLA,No,No,No,Not Required,3.2,0.0,Partner Growth & Lending Operations
APP0110,2026-04-27,Partner_I,Chennai,Branch,Personal Loan,Lead,989684,9,SLA Breach,Pending,No,No,Not Required,11.6,0.0,Customer Journey Transformation
APP0111,2026-05-25,Partner_I,Kolkata,Partner,Education Loan,Disbursed,3638145,9,SLA Breach,Yes,Yes,No,Not Required,21.2,7712.87,Partner Growth & Lending Operations
APP0112,2026-02-05,Partner_J,Chennai,Website,Personal Loan,Lead,151371,6,SLA Breach,Pending,No,No,Not Required,4.0,0.0,Customer Journey Transformation
APP0113,2026-02-24,Partner_K,Ahmedabad,Partner,Credit Card,Credit Review,253427,1,Within SLA,Pending,No,No,Passed,14.4,0.0,API Integration & GTM
APP0114,2026-04-19,Partner_E,Ahmedabad,Digital Campaign,Credit Card,Application,287091,4,Within SLA,Pending,No,No,Pending,13.2,0.0,API Integration & GTM
APP0115,2026-01-25,Partner_B,Delhi,Referral,Education Loan,Documents,3438496,9,SLA Breach,Pending,No,No,Not Required,10.2,0.0,Partner Growth & Lending Operations
APP0116,2026-02-13,Partner_E,Pune,Branch,Education Loan,Approved,3337981,6,SLA Breach,Yes,No,No,Not Required,7.3,0.0,Partner Growth & Lending Operations
APP0117,2026-04-28,Partner_A,Bangalore,Digital Campaign,Credit Card,Approved,107134,8,SLA Breach,Yes,No,No,Passed,12.1,0.0,API Integration & GTM
APP0118,2026-02-01,Partner_B,Hyderabad,Digital Campaign,Personal Loan,Approved,307594,10,SLA Breach,Yes,No,No,Not Required,11.0,0.0,Customer Journey Transformation
APP0119,2026-06-25,Partner_G,Bangalore,Digital Campaign,Credit Card,Approved,144457,7,SLA Breach,Yes,No,No,Passed,6.6,0.0,API Integration & GTM
APP0120,2026-01-17,Partner_B,Kolkata,Website,Education Loan,Disbursed,3933382,3,Within SLA,Yes,Yes,No,Not Required,25.3,9951.46,Partner Growth & Lending Operations
APP0121,2026-02-08,Partner_L,Pune,Website,Credit Card,Credit Review,263122,5,Within SLA,Pending,No,No,Passed,7.9,0.0,API Integration & GTM
APP0122,2026-06-19,Partner_F,Hyderabad,Website,Education Loan,Approved,3235264,10,SLA Breach,Yes,No,Yes,Not Required,8.0,0.0,Partner Growth & Lending Operations
APP0123,2026-03-03,Partner_B,Ahmedabad,Partner,Consumer Loan,Rejected,388266,7,SLA Breach,No,No,No,Not Required,3.6,0.0,CRM & Operations Transformation
APP0124,2026-03-06,Partner_H,Pune,Referral,Personal Loan,Rejected,939097,9,SLA Breach,No,No,No,Not Required,9.3,0.0,Customer Journey Transformation
APP0125,2026-03-14,Partner_H,Chennai,Partner,Education Loan,Disbursed,3547569,5,Within SLA,Yes,Yes,No,Not Required,12.3,4363.51,Partner Growth & Lending Operations
APP0126,2026-03-29,Partner_D,Pune,Website,Education Loan,Rejected,3350171,6,SLA Breach,No,No,Yes,Not Required,13.6,0.0,Partner Growth & Lending Operations
APP0127,2026-04-20,Partner_I,Kolkata,Referral,Personal Loan,Rejected,965015,4,Within SLA,No,No,No,Not Required,5.8,0.0,Customer Journey Transformation
APP0128,2026-02-16,Partner_J,Hyderabad,Partner,Education Loan,Application,1735202,8,SLA Breach,Pending,No,No,Not Required,3.7,0.0,Partner Growth & Lending Operations
APP0129,2026-05-25,Partner_D,Bangalore,Website,Education Loan,Credit Review,2508954,10,SLA Breach,Pending,No,No,Not Required,8.9,0.0,Partner Growth & Lending Operations
APP0130,2026-03-08,Partner_F,Delhi,Branch,Education Loan,Application,2175843,5,Within SLA,Pending,No,No,Not Required,13.5,0.0,Partner Growth & Lending Operations
APP0131,2026-05-19,Partner_C,Hyderabad,Website,Education Loan,Disbursed,1642953,9,SLA Breach,Yes,Yes,No,Not Required,26.9,4419.54,Partner Growth & Lending Operations
APP0132,2026-03-22,Partner_F,Ahmedabad,Website,Education Loan,Approved,4657893,5,Within SLA,Yes,No,No,Not Required,11.2,0.0,Partner Growth & Lending Operations
APP0133,2026-02-02,Partner_C,Bangalore,Branch,Education Loan,Approved,511303,2,Within SLA,Yes,No,No,Not Required,13.4,0.0,Partner Growth & Lending Operations
APP0134,2026-06-30,Partner_H,Pune,Branch,Consumer Loan,Disbursed,488298,9,SLA Breach,Yes,Yes,No,Not Required,15.8,771.51,CRM & Operations Transformation
APP0135,2026-06-09,Partner_F,Pune,Referral,Credit Card,Application,98874,10,SLA Breach,Pending,No,No,Pending,3.1,0.0,API Integration & GTM
APP0136,2026-06-04,Partner_B,Pune,Referral,Education Loan,Credit Review,3834732,7,SLA Breach,Pending,No,No,Not Required,4.0,0.0,Partner Growth & Lending Operations
APP0137,2026-03-15,Partner_B,Pune,Referral,Consumer Loan,Lead,355996,3,Within SLA,Pending,No,No,Not Required,6.4,0.0,CRM & Operations Transformation
APP0138,2026-03-09,Partner_L,Pune,Branch,Personal Loan,Application,207732,6,SLA Breach,Pending,No,Yes,Not Required,11.3,0.0,Customer Journey Transformation
APP0139,2026-02-19,Partner_F,Hyderabad,Referral,Education Loan,Approved,1272800,6,SLA Breach,Yes,No,No,Not Required,3.5,0.0,Partner Growth & Lending Operations
APP0140,2026-04-21,Partner_L,Pune,Referral,Consumer Loan,Approved,182499,7,SLA Breach,Yes,No,No,Not Required,12.9,0.0,CRM & Operations Transformation
APP0141,2026-05-21,Partner_J,Kolkata,Branch,Personal Loan,Credit Review,862461,2,Within SLA,Pending,No,Yes,Not Required,8.1,0.0,Customer Journey Transformation
APP0142,2026-03-22,Partner_K,Pune,Website,Consumer Loan,Disbursed,370941,4,Within SLA,Yes,Yes,No,Not Required,16.4,608.34,CRM & Operations Transformation
APP0143,2026-05-11,Partner_E,Kolkata,Partner,Consumer Loan,Credit Review,451818,4,Within SLA,Pending,No,No,Not Required,6.3,0.0,CRM & Operations Transformation
APP0144,2026-01-27,Partner_F,Kolkata,Partner,Education Loan,Disbursed,4517136,9,SLA Breach,Yes,Yes,No,Not Required,21.0,9485.99,Partner Growth & Lending Operations
APP0145,2026-06-21,Partner_A,Delhi,Partner,Consumer Loan,Disbursed,235390,2,Within SLA,Yes,Yes,No,Not Required,22.0,517.86,CRM & Operations Transformation
APP0146,2026-01-09,Partner_C,Pune,Digital Campaign,Education Loan,Disbursed,1018349,7,SLA Breach,Yes,Yes,No,Not Required,23.0,2342.2,Partner Growth & Lending Operations
APP0147,2026-03-13,Partner_F,Chennai,Website,Education Loan,Documents,2304673,8,SLA Breach,Pending,No,No,Not Required,14.8,0.0,Partner Growth & Lending Operations
APP0148,2026-05-16,Partner_B,Chennai,Referral,Personal Loan,Rejected,943093,9,SLA Breach,No,No,Yes,Not Required,12.4,0.0,Customer Journey Transformation
APP0149,2026-06-09,Partner_I,Hyderabad,Referral,Credit Card,Application,233341,6,SLA Breach,Pending,No,No,Passed,9.7,0.0,API Integration & GTM
APP0150,2026-06-15,Partner_A,Hyderabad,Partner,Consumer Loan,Disbursed,249724,4,Within SLA,Yes,Yes,No,Not Required,17.2,429.53,CRM & Operations Transformation
APP0151,2026-05-03,Partner_B,Kolkata,Referral,Personal Loan,Application,59078,1,Within SLA,Pending,No,Yes,Not Required,4.5,0.0,Customer Journey Transformation
APP0152,2026-03-25,Partner_G,Kolkata,Digital Campaign,Education Loan,Credit Review,827025,8,SLA Breach,Pending,No,Yes,Not Required,10.5,0.0,Partner Growth & Lending Operations
APP0153,2026-01-03,Partner_G,Mumbai,Branch,Education Loan,Disbursed,3581091,6,SLA Breach,Yes,Yes,No,Not Required,19.2,6875.69,Partner Growth & Lending Operations
APP0154,2026-02-24,Partner_K,Bangalore,Partner,Education Loan,Lead,4835702,9,SLA Breach,Pending,No,Yes,Not Required,5.6,0.0,Partner Growth & Lending Operations
APP0155,2026-02-06,Partner_G,Delhi,Referral,Personal Loan,Approved,689282,2,Within SLA,Yes,No,No,Not Required,10.8,0.0,Customer Journey Transformation
APP0156,2026-03-17,Partner_C,Pune,Digital Campaign,Consumer Loan,Application,255314,6,SLA Breach,Pending,No,No,Not Required,6.1,0.0,CRM & Operations Transformation
APP0157,2026-06-28,Partner_J,Delhi,Digital Campaign,Education Loan,Disbursed,1495843,4,Within SLA,Yes,Yes,No,Not Required,20.7,3096.4,Partner Growth & Lending Operations
APP0158,2026-04-25,Partner_E,Bangalore,Website,Personal Loan,Credit Review,617873,2,Within SLA,Pending,No,No,Not Required,10.9,0.0,Customer Journey Transformation
APP0159,2026-03-28,Partner_C,Delhi,Website,Education Loan,Credit Review,760116,1,Within SLA,Pending,No,No,Not Required,11.6,0.0,Partner Growth & Lending Operations
APP0160,2026-04-21,Partner_B,Kolkata,Website,Personal Loan,Credit Review,226037,9,SLA Breach,Pending,No,No,Not Required,13.4,0.0,Customer Journey Transformation
APP0161,2026-01-05,Partner_D,Bangalore,Website,Personal Loan,Application,151520,9,SLA Breach,Pending,No,Yes,Not Required,6.1,0.0,Customer Journey Transformation
APP0162,2026-04-03,Partner_H,Pune,Branch,Education Loan,Rejected,3354190,10,SLA Breach,No,No,No,Not Required,5.0,0.0,Partner Growth & Lending Operations
APP0163,2026-06-14,Partner_A,Delhi,Branch,Education Loan,Application,2968152,6,SLA Breach,Pending,No,No,Not Required,3.4,0.0,Partner Growth & Lending Operations
